sample	condition
MCF10A_TGFb_D0_replicate_1	MCF10A_TGFb_D0
MCF10A_TGFb_D0_replicate_2	MCF10A_TGFb_D0
MCF10A_TGFb_D0_replicate_3	MCF10A_TGFb_D0
MCF10A_TGFb_D0_replicate_4	MCF10A_TGFb_D0
MCF10A_TGFb_D1_replicate_1	MCF10A_TGFb_D1
MCF10A_TGFb_D1_replicate_2	MCF10A_TGFb_D1
MCF10A_TGFb_D1_replicate_3	MCF10A_TGFb_D1
MCF10A_TGFb_D1_replicate_4	MCF10A_TGFb_D1
MCF10A_TGFb_D6_replicate_1	MCF10A_TGFb_D6
MCF10A_TGFb_D6_replicate_2	MCF10A_TGFb_D6
MCF10A_TGFb_D6_replicate_3	MCF10A_TGFb_D6
MCF10A_TGFb_D6_replicate_4	MCF10A_TGFb_D6
MCF10A_TGFb_D0_replicate_5	MCF10A_TGFb_D0
MCF10A_TGFb_D0_replicate_6	MCF10A_TGFb_D0
MCF10A_TGFb_D0_replicate_7	MCF10A_TGFb_D0
MCF10A_TGFb_D0_replicate_8	MCF10A_TGFb_D0
MCF10A_TGFb_D1_replicate_5	MCF10A_TGFb_D1
MCF10A_TGFb_D1_replicate_6	MCF10A_TGFb_D1
MCF10A_TGFb_D1_replicate_7	MCF10A_TGFb_D1
MCF10A_TGFb_D1_replicate_8	MCF10A_TGFb_D1
MCF10A_TGFb_D6_replicate_5	MCF10A_TGFb_D6
MCF10A_TGFb_D6_replicate_6	MCF10A_TGFb_D6
MCF10A_TGFb_D6_replicate_7	MCF10A_TGFb_D6
MCF10A_TGFb_D6_replicate_8	MCF10A_TGFb_D6
